member_number,ssn,first_name,last_name,dob,address,city,state,zip,phone,join_date,checking_balance,savings_balance
479535,651-62-9376,NATALIE,HICKMAN,2001-10-02,9374 SNOW WALK,PORT JEROMESHIRE,OH,33811,3406830373,2022-06-01,3554.82,21218.31
179924,734-86-9744,KAYLA,ALVARADO,1973-05-13,841 SARA LOAF,GREGORYBOROUGH,PA,02363,+146185370,2015-03-28,13852.25,45758.22
208904,786-11-7616,AMY,DUNN,1944-04-04,03142 KATHY JUNCTION,NEW KATIESIDE,OH,61488,217.394.15,2022-10-28,2595.42,26803.33
859591,854-73-2945,AMANDA,MENDOZA,2002-06-23,56618 LEWIS FIELD SUITE 913,GRANTMOUTH,OH,51261,2537007309,2018-05-27,1286.96,1534.79
746113,888-36-7085,KATIE,WATKINS,1971-10-15,90534 CARTER WALKS APT. 042,LISABERG,WV,37288,4613851744,2016-01-13,7486.47,38225.86
557040,406-30-5352,CODY,BAKER,1962-04-17,93913 JOSHUA VILLE,PORT JENNIFERSHIRE,WV,91003,+134874160,2024-10-30,8968.17,42071.07
445462,770-68-8699,BRIANNA,RODRIGUEZ,1972-01-11,6814 BRITTANY POINTS APT. 152,LAKE SAMANTHA,OH,92342,2076322836,2013-10-05,8712.48,33385.26
237106,242-82-9069,ELIZABETH,LEE,1975-06-26,69694 WRIGHT WALKS APT. 649,SMITHVILLE,PA,53656,0014342292,2011-09-05,985.52,43545.27
497727,373-58-4688,RALPH,SANFORD,1958-05-26,031 ROBERT JUNCTIONS,SOUTH DREW,WV,95438,+171555668,2011-05-01,9374.51,18989.44
429192,677-88-7556,AARON,FORD,1943-10-09,784 ROBERT HEIGHTS,WEST JOSHUA,WV,56357,0018076819,2010-11-07,5899.21,42099.3
414308,455-83-7353,JIMMY,TUCKER,1954-06-24,45841 ATKINS PATH,JULIETOWN,WV,08754,0014139443,2022-02-21,5658.17,22064.05
228426,375-37-6713,ROBERT,PETERSON,1972-04-21,46449 COURTNEY SKYWAY,CODYFORT,PA,82371,735.905.57,2011-09-27,5973.54,15805.63
652204,713-44-4115,ANNETTE,TAYLOR,1967-07-11,76811 HIGGINS FORGES,EAST NATHAN,PA,05300,3093614973,2017-09-26,12618.39,47446.67
648045,736-69-9249,JOSHUA,JACKSON,1991-02-03,3651 WILLIAM FORKS,AARONSTAD,OH,47280,0014785201,2020-07-09,9521.24,15090.7
685831,414-46-3941,JEREMIAH,TAYLOR,1947-08-11,4621 THOMAS AVE,WEST AUSTIN,OH,23451,+176191231,2019-02-08,1741.6,6841.54
738157,441-44-5041,STEPHANIE,COLEMAN,1981-02-20,5493 JAMES HILL SUITE 871,PORT HEATHERTON,WV,30613,0014815876,2014-03-21,10280.56,10462.74
291458,744-66-3759,ANDREA,MORGAN,1976-02-24,5822 RONALD VISTA APT. 231,NEW SCOTT,WV,55829,0012813572,2020-11-30,11754.11,37382.93
623065,366-36-3292,TIMOTHY,TRUJILLO,1969-06-11,90255 CHAMBERS UNDERPASS SUITE 442,NEW LISASHIRE,WV,71281,947.281.22,2011-04-30,3784.38,30909.53
559794,495-77-5263,EBONY,BLACKWELL,1965-04-16,58482 GRAY CROSSING APT. 624,WEST MIKE,OH,06923,5428960807,2022-03-07,1297.86,14120.9
419074,386-50-7823,KIMBERLY,BENTON,1997-10-24,10401 KING PINES,NEW ROSETOWN,OH,34790,+184268773,2016-08-06,3267.98,4112.66
390250,554-93-1180,ERICA,BARBER,1975-01-27,4203 AVILA CURVE SUITE 863,WEST SUSANVIEW,PA,11270,506.746.25,2024-12-25,14771.71,33340.59
759712,462-88-3069,RHONDA,JOHNSON,1945-05-07,6448 KELSEY ST APT. 538,PORT TONI,OH,43958,0015277905,2023-11-06,3270.7,32124.49
536600,560-44-9984,DAVID,CHANDLER,1994-06-14,19787 AMY REST,EAST BRITTNEY,PA,83190,+193773265,2022-04-12,5840.04,48398.51
516487,629-14-2948,JENNIFER,WARREN,1940-03-01,00915 RODRIGUEZ CROSSROAD,EAST HALEYMOUTH,WV,62402,+177444916,2023-08-29,12349.81,27039.07
431187,425-57-3502,DANIELLE,ANDREWS,1946-12-30,36875 BRENDA THROUGHWAY SUITE 322,NEW CAROLYN,PA,19884,6372455611,2011-03-28,9898.41,36277.73
141551,460-60-6329,MICHAEL,SMITH,1993-06-14,6660 DARREN CROSSROAD,DELEONTOWN,WV,06026,208.835.66,2013-10-15,3808.47,24673.76
503945,705-27-1958,STEPHANIE,SAUNDERS,1956-11-13,0688 RYAN COVES SUITE 768,NEW JASON,PA,69247,6405134808,2024-01-01,5048.64,42628.75
537869,680-59-7066,DEREK,WILLIAMS,1955-06-28,101 HAYES SQUARE APT. 908,VICTORIASHIRE,WV,93240,4448920749,2023-08-22,3398.19,24518.44
391703,671-38-6183,DIANE,GREER,1983-03-27,84285 WALSH PORT APT. 259,WEST ANDREWHAVEN,PA,41080,0014938231,2019-12-06,11646.97,33697.35
585652,649-18-7891,ANDREW,GRANT,1950-02-18,6072 KYLE STREAM,NEW CATHERINE,PA,43201,+189573828,2016-09-08,1544.18,4428.84
124050,104-80-7427,KATHRYN,STEPHENS,1949-07-25,86965 MCCOY VILLAGE APT. 087,GARCIABERG,WV,25442,659.251.43,2010-08-11,5470.07,39366.07
819566,267-88-7572,ELIZABETH,PALMER,1980-06-02,01683 CHRISTOPHER FIELDS SUITE 001,ROSEVIEW,OH,11000,4912507628,2024-01-12,7555.78,32482.5
606414,522-97-9146,SCOTT,GEORGE,1966-03-01,726 POWERS RANCH,WEST ANDREW,PA,12568,0016773602,2024-08-27,12573.23,15837.23
918993,258-35-9430,STEPHANIE,EDWARDS,1988-03-17,56178 STEVEN FORD,LAKE CRAIG,WV,79527,4069136385,2012-05-31,13245.71,32514.01
255795,403-51-2331,JEFFERY,JONES,1985-01-04,4902 WILLIAMS WAY SUITE 480,SOUTH JOSHUATON,WV,31500,434.416.78,2023-10-08,4272.75,31807.21
965627,664-40-7270,PATRICIA,CHAPMAN,1995-11-08,348 JACKSON PLAINS,JESSICAFORT,OH,96344,+129773638,2010-12-09,11336.92,22551.64
610889,783-78-3906,KRISTEN,CHAPMAN,1988-07-01,1770 VALENCIA PARKS APT. 682,WEST KATHYFURT,WV,71361,8127235521,2024-08-26,11701.44,31033.6
546914,496-53-5622,GLORIA,SULLIVAN,1949-10-26,219 MARK LOCKS,FISCHERTON,PA,73577,0012844369,2022-07-28,7514.12,44012.18
318798,363-49-2240,STEPHANIE,HOLT,1955-03-22,948 WONG HILLS SUITE 988,LAKE CHRISTOPHERSTAD,PA,59727,+188897071,2010-12-27,10279.7,42806.76
597550,882-13-2250,CHRISTINA,HILL,1992-08-26,779 CRUZ DRIVE,WAGNERBERG,WV,17473,2896370858,2016-04-23,3054.8,18202.96
110960,171-92-7206,CHRISTINE,JENNINGS,1978-04-20,124 KIMBERLY JUNCTIONS,JOSEPHBURGH,OH,69128,6798632594,2024-08-12,8377.06,32659.41
327627,323-52-6052,MATTHEW,MARTIN,1945-01-03,85725 JACKSON PORTS APT. 693,WEST ALYSSA,WV,90473,6138818655,2014-11-27,13741.63,42623.44
710551,232-82-1390,JOSE,SMITH,1960-06-11,891 ROBIN RAPID,MARTINBOROUGH,OH,68860,0017596340,2012-03-15,2178.02,6852.07
965815,868-61-4934,JESSICA,DIAZ,1999-11-07,8136 YORK CAPE APT. 942,WEST STEPHANIELAND,OH,05113,0014529769,2018-07-01,1450.72,35751.12
177061,170-65-1489,MELISSA,BAILEY,1950-08-31,8660 SHIELDS PRAIRIE,SPARKSMOUTH,WV,71137,844.722.75,2018-02-15,4293.97,41019.73
313745,125-51-1563,KEVIN,MENDEZ,1947-08-31,650 SARAH AVE,NORTH ERICPORT,WV,49325,+173973132,2020-02-03,10581.63,1574.64
204579,641-70-1919,ANGELA,WHITE,1946-06-02,8896 WILLIS STRAVE SUITE 273,COLEMOUTH,WV,94789,5624025825,2012-06-27,13140.51,18029.46
148883,225-72-1756,CATHERINE,JOHNS,1983-06-19,106 NICOLE PIKE APT. 647,EAST JENNIFER,OH,61211,9089276817,2014-07-31,6233.4,44015.96
872271,180-81-8318,DEREK,MOORE,1978-06-09,2918 REYES SHOALS,LAKE CURTIS,OH,07460,+152791721,2024-12-11,13629.08,40691.74
719637,608-30-2035,SARA,NGUYEN,1951-04-30,621 LLOYD SHOALS,LAKE KEVINSIDE,WV,72676,7326553983,2021-10-01,13877.32,35367.06
945785,820-93-4822,TREVOR,MARTIN,1966-04-28,95449 CARR STREAM,EAST PATRICIASHIRE,WV,58014,5299271205,2021-03-19,13291.63,25809.51
351176,393-10-9075,LISA,TAYLOR,2004-04-11,20125 DANIEL STREAM,NEW JACOBTON,WV,06329,7877978889,2022-07-30,6243.22,43570.06
789772,422-29-9386,SANDRA,TYLER,1994-12-02,04436 LISA WALK,DANIELLAND,WV,45968,7392102929,2023-08-12,14328.77,1265.92
716986,492-42-9030,WILLIAM,BROWN,1995-07-30,671 GLORIA PARKS,NEW TAMMYBERG,OH,52643,9224132176,2011-12-07,4124.16,13041.54
346875,521-71-5097,DANIEL,POWELL,1948-05-26,19072 STANLEY PINES,RANDOLPHBOROUGH,PA,82155,0019306493,2012-02-07,516.43,9128.57
759340,832-83-2625,JUSTIN,CLARKE,1986-01-15,0952 CAITLYN LANE,NORTH MARY,PA,78017,755.461.03,2014-01-10,1036.57,31392.61
403603,489-46-7539,SHAWN,THOMAS,1952-07-25,585 PARKER CURVE APT. 041,NORTH DONALD,OH,63658,9616592738,2021-05-18,2752.14,26987.05
379234,507-74-9363,TAMARA,REYNOLDS,1998-03-17,3224 MATTHEW GREEN,PORT NATALIE,PA,83303,+190374030,2011-07-27,3657.48,24213.2
151166,730-65-5465,SCOTT,RHODES,2007-06-18,6234 SKINNER DAM SUITE 760,NORTH ANGELAVILLE,OH,67895,8036068317,2018-10-05,13970.24,13258.06
480086,174-27-1529,ZACHARY,BURNETT,1985-03-02,29015 STEVEN FLAT APT. 671,NORTH STEVEN,WV,30541,2102458474,2020-09-27,7705.86,34332.85
546940,273-36-1443,SEAN,WARNER,1980-02-18,31805 YVONNE UNIONS APT. 962,WEEKSCHESTER,PA,52094,8218591832,2019-06-08,5053.37,16545.65
840340,723-26-6700,KARI,POPE,1943-01-13,714 ANDREW SHOAL SUITE 938,PORT JENNIFERVIEW,OH,75758,2536152049,2018-07-14,6382.98,20888.61
603010,196-71-7259,TREVOR,WALKER,1944-01-09,716 MORRISON SUMMIT SUITE 166,EAST JAVIERPORT,OH,06937,679.343.32,2022-12-07,7722.1,10735.82
213504,765-48-9071,JOSEPH,STEPHENSON,1997-04-07,37087 DANIEL LOOP,PORT ERICTOWN,PA,83184,+144138135,2023-02-20,14919.77,1634.12
140055,610-94-3896,WILLIAM,MATTHEWS,1959-04-19,86448 EUGENE CREST,ARROYOSTAD,PA,68913,239.878.57,2023-01-11,2874.32,959.9
617918,308-57-4392,HECTOR,LOPEZ,1977-11-27,611 WILLIAM PARKS SUITE 296,SOUTH JESSICA,OH,51894,0016703409,2018-01-04,4680.38,44962.26
534372,358-80-6727,ANDREA,WRIGHT,1972-09-29,6517 WHITE ROUTE,NEW SARAPORT,OH,80431,3689349604,2012-09-23,6688.91,22393.09
854259,210-36-8939,TINA,KELLY,1991-04-12,8820 JOSEPH LOCKS APT. 906,WEST RANDALL,WV,20337,0013875991,2021-04-26,9167.04,5014.05
116794,597-28-7015,DANIEL,LEWIS,1988-07-14,2304 HAWKINS COURT,COOKTOWN,OH,22203,5446724191,2023-04-10,964.74,6168.29
101221,482-55-9110,THEODORE,YANG,2000-07-24,249 AMY STREAM,PORT RICHARDSIDE,OH,19566,7414746813,2016-12-05,2455.75,24308.07
289692,592-24-8763,ELIZABETH,WILLIAMSON,2001-10-28,987 CONRAD LIGHT SUITE 155,TIFFANYTON,OH,15003,8922920753,2020-11-01,9244.74,17558.84
505500,294-85-5697,BRYAN,WALL,1976-03-01,65362 XAVIER GREEN SUITE 590,WASHINGTONTON,OH,03748,+189462489,2015-07-01,6174.47,22061.98
489596,703-10-9054,RYAN,MARTIN,1995-05-15,6577 MEDINA BURGS SUITE 453,PORT WILLIAM,OH,80272,4628354662,2020-02-01,7994.69,8487.54
547227,312-94-1080,CASSANDRA,REED,2002-07-08,622 GREGORY HILL,PORT LAUREN,OH,56623,674.362.59,2022-10-28,3757.36,23089.4
851277,451-47-3441,JOHN,ROBLES,1983-01-28,80179 OLSON PARK,EAST NANCY,WV,23161,0016954704,2024-05-22,13789.08,22265.09
612617,101-44-2775,BRIAN,RICE,1955-02-25,3659 DELACRUZ PLACE APT. 785,WEST TONYA,PA,67879,7426183854,2015-03-06,5228.76,18000.73
183176,365-88-3373,MICHAEL,PEARSON,1962-08-13,11232 MITCHELL PLAIN,FLEMINGLAND,PA,59581,863.434.27,2020-06-03,11763.29,34068.72
364137,771-42-1749,BRUCE,BRADFORD,1980-11-07,04530 LYNCH TURNPIKE APT. 588,WEST CLAUDIA,WV,30573,3348001816,2024-05-07,4983.32,5422.69
279896,123-23-2924,STEPHANIE,GREEN,1968-08-30,517 SHANNON TUNNEL,NORTH DARLENEMOUTH,PA,32079,+189142878,2019-04-12,14512.12,44305.56
341523,320-43-6772,DEAN,MENDOZA,1958-03-30,246 BENJAMIN CORNERS SUITE 424,EAST MARIE,OH,85527,497.328.33,2013-09-30,13435.05,39178.46
279112,625-50-3628,GERALD,CAMACHO,2002-06-09,21010 JERRY ALLEY,NORTH HEATHERFURT,OH,60965,6615008987,2024-05-09,11204.97,38138.19
167558,788-78-7912,JOE,TRAN,2002-09-26,198 KRISTI HARBOR,LOGANSIDE,WV,84585,2355469510,2010-08-25,5050.12,49864.0
543962,117-83-9324,LISA,RAMIREZ,1961-12-29,1500 REYNOLDS SKYWAY SUITE 641,NORTH REBECCAFURT,OH,49124,6119340785,2021-12-31,11431.71,18956.94
461394,591-22-2847,RUSSELL,KELLEY,1959-08-08,8999 MOORE REST,GLOVERHAVEN,PA,31182,+196838891,2016-01-15,12782.35,25304.94
545340,740-63-4194,MEGAN,HUDSON,2000-07-29,932 SHERRY CURVE,IBARRASTAD,PA,60080,+148938260,2025-03-02,4486.97,28211.82
567301,430-39-4370,DAVID,TUCKER,1959-05-15,274 GUZMAN TUNNEL,NORTH AMBERSIDE,OH,19461,9197962642,2021-05-30,6354.45,1172.96
453920,586-32-1798,MICHAEL,HENDRICKS,1946-10-01,457 LUIS TUNNEL APT. 092,PORT MOLLY,OH,65636,6902016356,2023-04-24,14160.51,16037.23
723877,855-17-7723,THEODORE,THOMPSON,1950-09-04,400 TODD RUN APT. 247,NORTH DEREK,WV,55509,2683507105,2013-04-07,13189.11,34457.95
996584,103-92-9233,STEVEN,AGUIRRE,2006-04-22,2610 PEREZ VIADUCT,BROWNSHIRE,OH,18348,200.971.69,2022-05-17,2732.44,49843.77
981047,316-82-6261,ANNA,MURPHY,1959-07-10,876 MICHELLE LOOP,DAVIDVIEW,WV,37073,316.219.82,2020-07-21,6937.72,6606.9
375534,873-33-8712,RICHARD,COHEN,1944-04-07,57483 SAVAGE DRIVE SUITE 806,TIFFANYCHESTER,PA,05602,0016674398,2024-04-27,1958.0,49276.9
674730,642-76-1833,AMBER,RIVERA,1943-03-16,0657 GOMEZ LAKES SUITE 239,LAKE MAKAYLA,PA,78366,3855510740,2022-04-12,6026.15,36102.56
536766,767-48-4804,SHELLY,DAVIS,2006-08-30,54760 GARY BURG,LOVESTAD,OH,31146,4418201227,2023-07-16,10799.69,10000.11
622186,860-17-3609,SARAH,KNOX,1963-03-12,9507 WILLIAMS VILLAGE SUITE 173,SOUTH BROOKE,WV,06991,6952031006,2014-10-04,14366.32,31713.95
100330,412-11-5291,DAVID,JOHNSON,1954-03-07,941 AMY ROAD,EAST VERONICAMOUTH,OH,81159,+182835535,2024-09-14,10138.33,39902.05
389168,643-31-7766,ALEXANDER,SMITH,1978-06-08,86774 KIMBERLY GARDEN,MASONBERG,OH,94434,239.844.95,2015-08-10,3145.15,13210.8
279307,830-71-4915,ALAN,MARTIN,1963-04-03,73654 RACHEL FERRY,DANIELSIDE,PA,33894,7903292334,2011-03-12,12601.63,6174.7
640489,628-55-2052,PATTY,FISHER,1985-08-12,08868 SANCHEZ DRIVE APT. 166,ROBINSONBERG,PA,81276,7454759887,2015-04-09,1913.34,18337.73
845596,875-42-9933,RANDALL,HALL,1996-12-05,202 WOOD PIKE APT. 147,WUBERG,OH,00644,311.452.38,2018-06-06,6682.41,34486.53
155113,185-50-7454,RENEE,SHARP,1986-04-09,1186 AMANDA ISLE,LAKE BRIANNAMOUTH,PA,75077,0015773216,2024-03-23,9828.15,29369.8
527614,652-94-9132,TIMOTHY,JACKSON,1974-03-18,0182 JENNIFER NECK APT. 002,NEW KELLY,OH,17207,+133232041,2019-08-19,8615.28,8546.9
122898,595-86-6301,JAMES,SMITH,1948-03-13,03042 MELISSA CURVE,JIMENEZBERG,WV,91655,7352302816,2020-10-29,6574.38,22858.11
445375,107-53-7964,MALLORY,COOPER,1993-07-09,7756 CHERYL FORK,PORT CHAD,PA,03504,+152931617,2018-09-18,13205.35,14115.07
114643,110-90-2794,JOSHUA,HARVEY,1966-03-30,131 TUCKER PARKWAY,WEST RICHARDSTAD,OH,55247,2706636219,2011-02-20,5126.09,28334.41
140959,612-56-8640,TAMMY,MYERS,1952-12-11,339 COOPER HOLLOW SUITE 273,PORT GARY,WV,18155,3112424362,2019-11-11,7494.98,9960.09
936458,576-68-9082,JODI,CONRAD,1949-08-16,419 BAKER FLATS,LINDABERG,PA,94894,5723505833,2018-07-13,13097.06,47766.84
447731,515-73-3161,RICHARD,BROOKS,1988-06-21,6947 FLYNN LOCKS SUITE 535,SOUTH NATHAN,WV,62391,4667986163,2015-07-30,14949.7,40353.62
643537,405-30-8136,MARY,MONTGOMERY,2003-07-05,2692 BUCHANAN LANDING,SANDERSMOUTH,WV,24319,3306742359,2011-05-21,2654.1,39543.14
170249,229-85-7922,ELIZABETH,BAKER,1976-08-13,26145 LEWIS VALLEYS,SOUTH ASHLEYBURY,PA,86718,0013737100,2015-05-16,3097.11,49318.73
560595,680-92-8605,JASON,OCHOA,1984-05-02,8744 WILLIAMS PARKS,LAKE TAMMIE,WV,85449,+170886523,2024-04-05,2035.04,16759.02
421269,622-52-4639,DEBBIE,WILLIAMS,1991-06-29,78105 BANKS SHOALS APT. 002,GATESBURGH,WV,96116,2146257316,2022-02-18,13434.69,25919.62
457851,245-42-7069,JEFF,SANDERS,1994-05-30,2031 NICHOLAS KEY,JENNAHAVEN,OH,51719,7097297352,2020-03-12,3224.45,17719.04
555375,265-24-1906,KELLI,RAMOS,1987-02-23,992 JUSTIN WALK,VAZQUEZBURY,PA,46905,923.866.18,2011-04-12,2790.04,35318.7
426951,359-16-8352,JACOB,LAWSON,1993-03-04,236 COREY OVERPASS,EAST RANDYSTAD,OH,85017,+163888217,2012-07-23,11337.83,14394.42
611800,352-62-9641,JASON,BOOKER,1954-04-30,28019 KING DRIVES,ANNSHIRE,OH,20723,0012228560,2017-10-11,12361.2,35260.93
289385,256-22-8516,LAUREN,JONES,1983-08-23,6741 ADAM SKYWAY,JERMAINESIDE,WV,40463,0018185520,2015-04-21,8799.15,28284.45
421629,636-10-5521,JOSHUA,ALVAREZ,1964-03-06,121 MILLER STRAVE SUITE 119,MARKVIEW,WV,02717,0019197693,2010-11-13,2817.61,49654.38
341254,427-50-5032,GARY,BRAY,1984-12-04,712 EDWARD CLIFFS,NEW JOHN,OH,94407,4968789760,2022-07-25,14963.86,20668.17
328892,529-52-5330,TRACI,LOPEZ,1969-05-14,075 WONG MANOR SUITE 339,JAMESLAND,OH,83071,0014653430,2017-11-21,8145.1,24361.2
141493,480-46-2518,NICHOLAS,KAISER,1977-11-18,7000 ROBERT POINTS SUITE 644,CRAWFORDPORT,WV,75526,797.241.63,2013-11-26,8746.9,27050.73
552158,759-33-8251,JAMES,CHAPMAN,1965-11-07,692 ALEXANDER CREEK SUITE 296,WEST JAMIE,OH,91559,8975025512,2019-10-22,9659.21,15064.06
388006,876-63-4700,SABRINA,OLIVER,1977-08-24,654 SANDOVAL GATEWAY SUITE 544,WEST JENNA,PA,10068,9916699939,2014-07-21,14322.66,19665.38
312031,780-66-4673,ALICIA,LOWE,1984-04-18,30958 ANDERSON STREAM,CUMMINGSBOROUGH,WV,75948,+148839413,2015-02-12,1520.07,8454.9
341220,335-70-9144,MELISSA,BAILEY,1959-02-11,5792 BENJAMIN BRANCH APT. 449,CHARLESFURT,WV,08901,4933900251,2023-07-24,2363.18,36967.15
851480,452-89-8696,ALLISON,LARSON,1952-07-14,708 ARELLANO COMMON APT. 145,JAIMEMOUTH,WV,52477,8314138850,2017-06-16,11344.41,17321.16
159090,645-29-6629,ISAAC,RUSSELL,1984-03-15,3796 HARRINGTON PLAINS,NORTH ANDREAMOUTH,PA,93661,0013299469,2023-03-21,2543.89,48921.71
846099,475-27-8637,BRIAN,PEREZ,1993-08-01,22894 MYERS FALLS SUITE 523,EAST ABIGAIL,OH,20596,+123052025,2017-03-18,14935.68,38119.64
477825,751-53-9990,JESSICA,MARTINEZ,2000-11-08,0762 LYNCH KEY SUITE 302,DARLENEBOROUGH,PA,07847,2235984723,2018-09-12,3868.79,39676.99
143184,487-33-5274,STEPHEN,POTTS,1993-12-18,72224 NICOLE CENTERS,OLSENCHESTER,OH,34441,+128781775,2012-11-27,9131.37,3518.37
364735,144-27-1154,ERICA,FULLER,1962-09-05,25909 CRUZ TRACE,JENNIFERHAVEN,PA,95489,0013232733,2014-02-17,11550.17,49825.33
523224,356-86-8270,MICHAEL,BARKER,1967-11-17,170 CARTER CAMP,NEW EDWARD,OH,14075,0019993452,2021-10-27,13579.9,10052.86
860434,580-70-8138,JOHN,GRANT,1951-12-16,4221 THOMPSON SPRINGS,GINAVIEW,WV,77978,+166393083,2010-10-01,12460.88,12445.94
817734,470-11-8732,NEIL,VEGA,1991-09-06,95377 HANSON FALLS SUITE 632,ROBERTVIEW,PA,24747,877.752.25,2020-05-28,7832.81,26375.44
937483,554-59-8875,ASHLEY,PENNINGTON,1949-11-09,15630 BRITTANY ISLAND SUITE 363,BARNETTBERG,WV,85141,7293420661,2018-09-02,9282.29,9715.84
602899,693-18-2884,MELISSA,WILLIAMS,1978-08-14,211 MELISSA COURT,PORT CHARLES,OH,98697,2813582686,2011-06-22,8635.35,7810.23
569268,658-39-1898,KYLE,TORRES,1948-09-04,62987 LITTLE NECK,PORT LEE,WV,43399,0014668464,2015-03-07,8496.48,13686.57
219410,554-19-1805,CALEB,MITCHELL,1981-03-11,47891 THOMAS RIDGES,HERNANDEZCHESTER,PA,77588,+129924981,2021-08-28,13943.56,48841.54
775642,146-90-9678,JULIE,MCCARTHY,1943-11-02,28538 LOPEZ COURT APT. 505,WEST JOHN,PA,69898,280.258.26,2013-01-20,1329.2,39671.07
681926,314-33-3296,STEPHEN,GRAHAM,1956-03-10,83896 JASON ORCHARD,MCCULLOUGHLAND,PA,66778,3185626713,2024-02-05,1457.64,40037.22
772590,814-23-7379,JENNIFER,HERNANDEZ,1985-05-11,2791 NGUYEN TRACK,SOUTH STEPHANIEFORT,PA,65120,3104659208,2017-07-03,6491.61,35648.74
981679,103-17-9665,WESLEY,RODRIGUEZ,2005-07-20,838 BELL PARKS APT. 026,RICHARDSONFURT,WV,70475,4297591257,2020-02-22,6880.67,49166.73
922664,491-91-6671,KATHRYN,ROJAS,1999-11-19,4729 HENDERSON HOLLOW,PORT SAMUELFURT,PA,63996,7806897474,2022-08-21,8828.53,9029.58
868487,109-40-2771,LAURIE,BOONE,1947-04-01,47853 QUINN PLAIN APT. 649,WEST KELLYTOWN,WV,79790,8864052102,2018-11-21,12463.17,15414.59
338394,127-51-2303,RACHEL,SMITH,1976-08-11,458 KAYLA ALLEY APT. 057,ELIZABETHSIDE,PA,72730,599.274.18,2024-04-28,5736.21,24257.47
699482,124-74-9542,BRANDON,LEWIS,1985-10-23,619 NEWMAN BROOK SUITE 641,KATRINABOROUGH,WV,57946,+134697908,2011-01-24,1591.1,24754.27
337658,853-37-4764,CRYSTAL,HARRIS,1964-11-30,34444 CAROLYN CAPE,WEBBMOUTH,PA,55805,+136572406,2015-04-30,1854.15,21626.22
198340,593-71-3542,RONALD,THOMPSON,2003-06-11,90533 GONZALES BURGS,VICTORFORT,PA,51461,5847559396,2014-11-28,13878.63,47744.89
899986,442-73-9138,JESSICA,ROBINSON,1950-11-24,36221 SARAH TUNNEL,YOUNGBERG,WV,83509,772.764.88,2020-10-24,9599.91,35587.87
487067,148-97-3078,MICHAEL,MARQUEZ,1960-11-07,85759 SHANE CENTERS SUITE 080,KYLELAND,OH,34360,674.347.35,2021-02-17,2609.44,17708.86
987053,526-47-6600,TINA,STEVENS,1957-04-09,53788 JEFFREY CROSSING,SOUTH CHRISTOPHER,PA,09498,0014333892,2013-07-16,3919.49,10337.42
538010,168-25-6426,JUSTIN,PETERS,1952-02-07,2174 MURPHY SHORE,WEST JESSICA,WV,63760,301.989.15,2022-09-24,10155.64,1948.72
921763,546-86-6338,BRIANNA,BROWN,1960-09-13,2999 ONEAL ROADS,GREENMOUTH,WV,07403,+199959001,2021-03-24,12589.32,40236.75
951207,441-86-9916,FRANK,PADILLA,1976-05-02,844 DEBRA LOAF SUITE 884,AGUILARMOUTH,PA,22874,+135725958,2017-07-15,13009.39,4747.16
744993,329-34-6968,AMBER,GUERRERO,1984-08-25,48839 ROACH MOUNTAIN,WEST KARENHAVEN,WV,39724,3514436728,2015-09-21,8978.43,5945.06
112208,214-19-8557,RYAN,HERRERA,1992-04-26,781 LANDRY JUNCTION,PORT ANDREWSHIRE,PA,83112,8178790552,2020-01-06,5972.67,42897.14
761453,558-70-7837,DIANE,GARNER,1976-03-17,705 DAVID LOCKS,LAKE JULIEVILLE,OH,75955,691.403.82,2019-03-16,3357.85,12685.55
123635,416-95-3700,HANNAH,MURPHY,1975-12-23,104 BROWN DALE,JASONMOUTH,WV,27578,8155873662,2021-02-27,12988.87,1618.57
217971,274-33-2983,COURTNEY,STEPHENS,2005-12-03,54731 VALENCIA VIEW SUITE 397,WEST MICHAEL,WV,15664,5649369028,2018-10-07,2421.43,8664.92
606224,832-85-6675,ROBERT,CANNON,1965-04-24,3428 NICHOLAS GLENS,CASEYCHESTER,PA,10533,8196753584,2013-06-06,2673.33,41584.72
242226,416-62-8176,ANN,SMITH,1972-12-10,42763 TAYLOR WALKS,WEST CYNTHIAVIEW,PA,59914,8892395309,2021-12-09,11448.03,16310.23
545956,754-22-5407,SAMANTHA,DALTON,1982-03-18,228 MAYS PASS,HUBBARDMOUTH,WV,99381,2138587271,2022-03-25,740.01,3309.95
102100,845-18-7243,KATHY,JOHNSON,1960-05-03,881 HARRIS MOUNTAINS,PEARSONSTAD,WV,67605,333.564.77,2024-09-22,1996.68,9079.46
237758,105-56-3945,MICHAEL,HUNT,1982-11-27,28262 BAKER EXPRESSWAY APT. 412,NORTH CHERYL,PA,95418,+165737204,2023-03-14,14645.39,49132.17
743335,254-76-8690,DAWN,BROWN,1972-06-02,22487 BRENDA ST SUITE 264,HARRISBURGH,WV,49416,4748224043,2011-02-16,14650.27,14341.38
639435,774-18-7704,KEVIN,FOX,1946-05-05,07028 WEST SHOAL APT. 020,NEW MATTHEWBURY,WV,51740,7212953689,2024-12-04,10978.06,41454.85
899721,699-62-1295,ANNA,SMITH,1993-11-23,713 DESTINY EXTENSION,NORTH DANIEL,PA,71350,7906871672,2019-02-20,2067.17,45212.63
123654,432-55-2984,AMY,HANEY,1944-03-30,4436 TONYA DRIVE,PORT KEVIN,WV,17769,5526160252,2021-07-21,2949.61,48676.49
